Timestamp,BatchKeyPath,DriverDesc,BatchValueName,DriverDate,DriverVersion,ProviderName,DeviceInstanceid
2025-02-05 00:08:56.2368162,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0000,Microsoft Kernel Debug Network Adapter,Multiple,6-21-2006,10.0.22621.1,Microsoft,ROOT\KDNIC\0000
2025-02-05 00:09:13.2856790,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0001,Intel(R) 82574L Gigabit Network Connection,Multiple,6-24-2021,12.19.1.32,Microsoft,PCI\VEN_8086&DEV_10D3&SUBSYS_07D015AD&REV_00\000C29FFFFB14CDD00
2025-02-04 08:16:01.8237118,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002,WAN Miniport (SSTP),Multiple,6-21-2006,10.0.22621.1,Microsoft,SWD\MSRRAS\MS_SSTPMINIPORT
2025-02-04 08:16:01.8237118,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0003,WAN Miniport (IKEv2),Multiple,6-21-2006,10.0.22621.1,Microsoft,SWD\MSRRAS\MS_AGILEVPNMINIPORT
2025-02-04 08:16:01.8237118,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0004,WAN Miniport (L2TP),Multiple,6-21-2006,10.0.22621.1,Microsoft,SWD\MSRRAS\MS_L2TPMINIPORT
2025-02-04 08:16:01.8237118,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0005,WAN Miniport (PPTP),Multiple,6-21-2006,10.0.22621.1,Microsoft,SWD\MSRRAS\MS_PPTPMINIPORT
2025-02-04 08:16:01.8237118,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0006,WAN Miniport (PPPOE),Multiple,6-21-2006,10.0.22621.1,Microsoft,SWD\MSRRAS\MS_PPPOEMINIPORT
2025-02-04 08:16:01.6832619,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0007,WAN Miniport (IP),Multiple,6-21-2006,10.0.22621.1,Microsoft,SWD\MSRRAS\MS_NDISWANIP
2025-02-04 08:16:01.7459659,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0008,WAN Miniport (IPv6),Multiple,6-21-2006,10.0.22621.1,Microsoft,SWD\MSRRAS\MS_NDISWANIPV6
2025-02-04 08:16:01.7925878,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0009,WAN Miniport (Network Monitor),Multiple,6-21-2006,10.0.22621.1,Microsoft,SWD\MSRRAS\MS_NDISWANBH
