ProtocolList,BatchKeyPath,Alias,BatchValueName,Description,Type,PermanentAddress,CurrentAddress
Tcpip6 TCPIP6TUNNEL,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{07374750-E68B-490E-9330-9FD785CD71B6},6to4 Adapter,Multiple,Microsoft 6to4 Adapter,131,,
NdisWan,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{266C7A63-146C-42E2-9338-E61222C8741C},Local Area Connection* 2,Multiple,WAN Miniport (IKEv2),131,,
Tcpip6 TCPIP6TUNNEL,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{2EE2C70C-A092-4D88-A654-98C8D7645CD5},Microsoft IP-HTTPS Platform Interface,Multiple,Microsoft IP-HTTPS Platform Adapter,131,,
RDMANDK Tcpip MsLldp Tcpip6 rspndr RasPppoe Ndisuio lltdio,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{466F83E1-AB7A-471D-BF72-0097CD428E03},Ethernet0,Multiple,Intel(R) 82574L Gigabit Network Connection,6,00-0C-29-B1-4C-DD,00-0C-29-B1-4C-DD
RDMANDK Tcpip MsLldp Tcpip6 rspndr RasPppoe Ndisuio lltdio,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{4954161F-91A8-4F00-9FCC-FD3CA8F41583},Ethernet (Kernel Debugger),Multiple,Microsoft Kernel Debug Network Adapter,6,,
NdisWan,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{583B2B6A-9F7A-441C-BC20-6A59CD42FA9C},Local Area Connection* 4,Multiple,WAN Miniport (PPTP),131,,
NdisWan,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{8D164423-33BD-4A94-BA14-AB2E65104A9B},Local Area Connection* 1,Multiple,WAN Miniport (SSTP),131,,
NdisWan,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{8E53ECF6-02BD-4502-870A-1F3E3621F36A},Local Area Connection* 5,Multiple,WAN Miniport (PPPOE),23,,
Tcpip6 TCPIP6TUNNEL,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{93123211-9629-4E04-82F0-EA2E4F221468},Teredo Tunneling Pseudo-Interface,Multiple,Microsoft Teredo Tunneling Adapter,131,,
wanarp,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{EE271179-4B31-4250-AAAA-B9844BD91CED},Local Area Connection* 6,Multiple,WAN Miniport (IP),6,,
wanarpv6,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{F5370D28-7A06-4934-BB8F-335D710024C2},Local Area Connection* 7,Multiple,WAN Miniport (IPv6),6,,
,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{FBA0B1CE-275F-4E88-818C-F748ADEA977B},Local Area Connection* 8,Multiple,WAN Miniport (Network Monitor),6,,
NdisWan,ROOT\ControlSet001\Control\NetworkSetup2\Interfaces\{FE073B9C-1DFC-46BB-8C61-ED82A9AFD1DD},Local Area Connection* 3,Multiple,WAN Miniport (L2TP),131,,
