SourceFile,SourceFileSha1,Reason
C:\Windows\System32\config\RegBack\DEFAULT.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\RegBack\SAM.LOG1,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\RegBack\SAM.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\RegBack\SECURITY.LOG1,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\RegBack\SECURITY.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\RegBack\SOFTWARE.LOG1,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\RegBack\SOFTWARE.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\RegBack\SYSTEM.LOG1,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\RegBack\SYSTEM.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\systemprofile\ntuser.dat.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\users\Default\NTUSER.DAT.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\SAM.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\SECURITY.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\SOFTWARE.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\SYSTEM.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\users\mrkdqp\ntuser.dat.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\Windows\System32\config\DEFAULT.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
C:\users\mrkdqp\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,Deduped
